No errors
Max results hit (1000): not all possible results returned; 
96 ms
data source=metars
1000 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
EHLW 270055Z AUTO 26004KT 9999 BKN096 OVC110 05/04 Q1031 BLU,EHLW,2019-03-27T00:55:00Z,53.22,5.75,5.0,4.0,260,4,,6.21,30.442913,,,TRUE,,,,,,,,BKN,9600,OVC,11000,,,,,VFR,,,,,,,,,,,,METAR,2.0
EHGR 270055Z AUTO 28003KT 240V310 9999 OVC046 06/05 Q1032 BLU,EHGR,2019-03-27T00:55:00Z,51.57,4.92,6.0,5.0,280,3,,6.21,30.47244,,,TRUE,,,,,,,,OVC,4600,,,,,,,VFR,,,,,,,,,,,,METAR,13.0
EHDL 270055Z AUTO 00000KT 6000 R20/1800D BR BKN010 BKN013 OVC360 01/00 Q1031 GRN,EHDL,2019-03-27T00:55:00Z,52.07,5.87,1.0,0.0,0,0,,3.73,30.442913,,,TRUE,,,,,,,BR,BKN,1000,BKN,1300,OVC,36000,,,MVFR,,,,,,,,,,,,METAR,52.0
YHID 270055Z AUTO 31009KT 5000 -SHRA SCT012 BKN055 OVC066 27/25 Q1012,YHID,2019-03-27T00:55:00Z,-10.58,142.3,27.0,25.0,310,9,,3.11,29.88189,,,TRUE,,,,,,,-SHRA,SCT,1200,BKN,5500,OVC,6600,,,MVFR,,,,,,,,,,,,SPECI,13.0
KAIK 270055Z AUTO 05008KT 10SM SCT080 11/05 A3022 RMK AO2,KAIK,2019-03-27T00:55:00Z,33.65,-81.68,11.0,5.0,50,8,,10.0,30.221457,,,TRUE,TRUE,,,,,,,SCT,8000,,,,,,,VFR,,,,,,,,,,,,METAR,161.0
KALM 270055Z AUTO 17013G19KT 10SM CLR 23/07 A3006 RMK AO2,KALM,2019-03-27T00:55:00Z,32.82,-105.97,23.0,7.0,170,13,19,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1279.0
KCKM 270055Z AUTO 36007KT 10SM 10/02 A3031 RMK A01,KCKM,2019-03-27T00:55:00Z,34.3,-90.52,10.0,2.0,360,7,,10.0,30.31004,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,53.0
KLSF 270055Z AUTO 29005KT 10SM -DZ BKN043 OVC055 14/10 A3012 RMK AO2 DZB55 SLP205,KLSF,2019-03-27T00:55:00Z,32.32,-84.97,14.0,10.0,290,5,,10.0,30.121063,1020.5,,TRUE,TRUE,,,,,,-DZ,BKN,4300,OVC,5500,,,,,VFR,,,,,,,,,,,,SPECI,71.0
KSPA 270055Z AUTO 02007KT 10SM OVC060 11/05 A3022 RMK AO2,KSPA,2019-03-27T00:55:00Z,34.92,-81.93,11.0,5.0,20,7,,10.0,30.221457,,,TRUE,TRUE,,,,,,,OVC,6000,,,,,,,VFR,,,,,,,,,,,,SPECI,303.0
KSIK 270055Z AUTO 36005KT 10SM CLR 08/M01 A3035 RMK AO2,KSIK,2019-03-27T00:55:00Z,36.9,-89.57,8.0,-1.0,360,5,,10.0,30.351377,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,96.0
KLQK 270055Z AUTO 08005KT 10SM OVC042 11/06 A3020 RMK AO2 T01080062,KLQK,2019-03-27T00:55:00Z,34.82,-82.7,10.8,6.2,80,5,,10.0,30.200787,,,TRUE,TRUE,,,,,,,OVC,4200,,,,,,,VFR,,,,,,,,,,,,SPECI,309.0
KINF 270055Z AUTO 00000KT 10SM CLR 17/15 A3003 RMK AO2,KINF,2019-03-27T00:55:00Z,28.8,-82.32,17.0,15.0,0,0,,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,15.0
KIFA 270055Z AUTO 14008KT 10SM OVC060 09/03 A3024 RMK AO2 T00910033,KIFA,2019-03-27T00:55:00Z,42.47,-93.27,9.1,3.3,140,8,,10.0,30.239174,,,TRUE,TRUE,,,,,,,OVC,6000,,,,,,,VFR,,,,,,,,,,,,METAR,347.0
KHXD 270055Z AUTO 04010G20KT 10SM BKN027 OVC032 13/08 A3017 RMK AO2,KHXD,2019-03-27T00:55:00Z,32.22,-80.7,13.0,8.0,40,10,20,10.0,30.171259,,,TRUE,TRUE,,,,,,,BKN,2700,OVC,3200,,,,,MVFR,,,,,,,,,,,,METAR,6.0
KICL 270055Z AUTO 16007KT 10SM CLR 12/05 A3023 RMK AO2,KICL,2019-03-27T00:55:00Z,40.72,-95.02,12.0,5.0,160,7,,10.0,30.230314,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,303.0
KIIB 270055Z AUTO 16008KT 10SM CLR 04/M03 A3029 RMK AO2 T00351031,KIIB,2019-03-27T00:55:00Z,42.45,-91.95,3.5,-3.1,160,8,,10.0,30.28937,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,298.0
KPEA 270055Z AUTO 14005KT 10SM SCT070 09/00 A3029 RMK AO2 T00871003,KPEA,2019-03-27T00:55:00Z,41.4,-92.95,8.7,-0.3,140,5,,10.0,30.28937,,,TRUE,TRUE,,,,,,,SCT,7000,,,,,,,VFR,,,,,,,,,,,,METAR,270.0
KBKN 270055Z AUTO 14007KT 10SM CLR 16/08 A3026 RMK AO2,KBKN,2019-03-27T00:55:00Z,36.75,-97.35,16.0,8.0,140,7,,10.0,30.259842,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,314.0
KANQ 270055Z AUTO 00000KT 10SM CLR 03/M06 A3037 RMK AO2,KANQ,2019-03-27T00:55:00Z,41.63,-85.08,3.0,-6.0,0,0,,10.0,30.369095,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,303.0
K2C8 270055Z AUTO 18012KT 4SM BR OVC008 01/00 A2994 RMK AO2,K2C8,2019-03-27T00:55:00Z,48.78,-97.63,1.0,0.0,180,12,,4.0,29.940945,,,TRUE,TRUE,,,,,,BR,OVC,800,,,,,,,IFR,,,,,,,,,,,,METAR,272.0
KC35 270055Z AUTO 19005KT 10SM CLR 04/M07 A3031 RMK AO2 T00441073,KC35,2019-03-27T00:55:00Z,43.53,-89.98,4.4,-7.3,190,5,,10.0,30.31004,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,276.0
KGLY 270055Z AUTO 15003KT 10SM CLR 11/04 A3030 RMK AO2,KGLY,2019-03-27T00:55:00Z,38.35,-93.68,11.0,4.0,150,3,,10.0,30.301182,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,251.0
